Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,10035.0,9906.0,129.0
Andhra Pradesh,2319720.0,2304950.0,14730.0
Arunachal Pradesh,64499.0,64199.0,296.0
Assam,724217.0,716225.0,7986.0
Bihar,830595.0,818294.0,12256.0
Chandigarh,92113.0,90876.0,1165.0
Chhattisgarh,1152296.0,1138225.0,14034.0
Dadra and Nagar Haveli and Daman and Diu,11441.0,11437.0,4.0
Delhi,1889769.0,1857846.0,26177.0
Goa,245472.0,241588.0,3832.0
Gujarat,1224429.0,1213365.0,10943.0
Haryana,995036.0,981881.0,10620.0
Himachal Pradesh,284849.0,280660.0,4134.0
Jammu and Kashmir,454079.0,449268.0,4751.0
Jharkhand,435263.0,429899.0,5317.0
Karnataka,3948283.0,3906327.0,40102.0
Kerala,6543002.0,6470924.0,69190.0
Ladakh,28247.0,28017.0,228.0
Lakshadweep,11402.0,11350.0,52.0
Madhya Pradesh,1041600.0,1030652.0,10735.0
Maharashtra,7878596.0,7729642.0,147845.0
Manipur,137225.0,135097.0,2120.0
Meghalaya,93805.0,92204.0,1593.0
Mizoram,227676.0,226644.0,697.0
Nagaland,35488.0,34728.0,760.0
Odisha,1288103.0,1278825.0,9126.0
Puducherry,165794.0,163825.0,1962.0
Punjab,759832.0,741801.0,17751.0
Rajasthan,1283986.0,1273904.0,9553.0
Sikkim,39153.0,38699.0,452.0
Tamil Nadu,3454153.0,3415662.0,38025.0
Telangana,792191.0,787716.0,4111.0
Tripura,100882.0,99958.0,923.0
Uttarakhand,437573.0,429385.0,7693.0
Uttar Pradesh,2075693.0,2050443.0,23508.0
West Bengal,2018441.0,1996826.0,21202.0
National Total,43094938.0,42551248.0,524002.0
