Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,10638.0,10503.0,129.0
Andhra Pradesh,2337966.0,2322946.0,14733.0
Arunachal Pradesh,66816.0,66489.0,296.0
Assam,745351.0,734612.0,8034.0
Bihar,850108.0,837508.0,12300.0
Chandigarh,99151.0,97900.0,1181.0
Chhattisgarh,1175633.0,1160907.0,14125.0
Dadra and Nagar Haveli and Daman and Diu,11585.0,11579.0,4.0
Delhi,2002572.0,1975609.0,26500.0
Goa,257683.0,253281.0,3965.0
Gujarat,1273643.0,1261504.0,11028.0
Haryana,1054441.0,1043379.0,10699.0
Himachal Pradesh,311976.0,307550.0,4208.0
Jammu and Kashmir,478972.0,474015.0,4785.0
Jharkhand,442253.0,436819.0,5330.0
Karnataka,4062084.0,4018372.0,40278.0
Kerala,6789398.0,6703009.0,71023.0
Ladakh,29314.0,29064.0,230.0
Lakshadweep,11415.0,11363.0,52.0
Madhya Pradesh,1054104.0,1043172.0,10771.0
Maharashtra,8116384.0,7963854.0,148314.0
Manipur,139796.0,137620.0,2148.0
Meghalaya,96627.0,94960.0,1622.0
Mizoram,238168.0,237196.0,722.0
Nagaland,35949.0,35154.0,781.0
Odisha,1332082.0,1321594.0,9186.0
Puducherry,174002.0,171529.0,1971.0
Punjab,784316.0,763499.0,17911.0
Rajasthan,1312499.0,1301773.0,9637.0
Sikkim,44062.0,43454.0,495.0
Tamil Nadu,3577808.0,3534698.0,38040.0
Telangana,836907.0,832070.0,4111.0
Tripura,107758.0,106811.0,938.0
Uttarakhand,449039.0,440227.0,7747.0
Uttar Pradesh,2125607.0,2101302.0,23618.0
West Bengal,2111492.0,2087658.0,21491.0
National Total,44547599.0,43972980.0,528403.0
