Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,10149.0,9982.0,129.0
Andhra Pradesh,2321207.0,2305818.0,14731.0
Arunachal Pradesh,64518.0,64216.0,296.0
Assam,724715.0,716365.0,7988.0
Bihar,832403.0,819258.0,12259.0
Chandigarh,93700.0,92016.0,1165.0
Chhattisgarh,1154053.0,1139166.0,14036.0
Dadra and Nagar Haveli and Daman and Diu,11470.0,11451.0,4.0
Delhi,1932900.0,1902158.0,26260.0
Goa,248339.0,243569.0,3838.0
Gujarat,1230954.0,1217215.0,10946.0
Haryana,1014881.0,1001610.0,10622.0
Himachal Pradesh,285956.0,281374.0,4141.0
Jammu and Kashmir,454933.0,449772.0,4756.0
Jharkhand,435814.0,430215.0,5320.0
Karnataka,3966420.0,3921387.0,40115.0
Kerala,6630263.0,6532201.0,69976.0
Ladakh,28389.0,28094.0,228.0
Lakshadweep,11407.0,11353.0,52.0
Madhya Pradesh,1044150.0,1032955.0,10741.0
Maharashtra,7968517.0,7795121.0,147915.0
Manipur,137260.0,135124.0,2120.0
Meghalaya,93919.0,92284.0,1594.0
Mizoram,229009.0,228075.0,703.0
Nagaland,35507.0,34743.0,761.0
Odisha,1289441.0,1279794.0,9126.0
Puducherry,166358.0,164149.0,1962.0
Punjab,762532.0,743778.0,17770.0
Rajasthan,1288188.0,1277720.0,9564.0
Sikkim,39218.0,38742.0,453.0
Tamil Nadu,3471289.0,3424293.0,38026.0
Telangana,799991.0,791708.0,4111.0
Tripura,100899.0,99971.0,923.0
Uttarakhand,438615.0,430151.0,7696.0
Uttar Pradesh,2089504.0,2062336.0,23534.0
West Bengal,2026477.0,2000502.0,21216.0
National Total,43433345.0,42808666.0,525077.0
