Region,Recovered/Migrated,Deceased,Confirmed
Andaman and Nicobar Islands,33.0,0.0,33.0
Andhra Pradesh,2421.0,64.0,3898.0
Arunachal Pradesh,1.0,0.0,22.0
Assam,324.0,4.0,1513.0
Bihar,1946.0,24.0,4155.0
Chandigarh,214.0,5.0,301.0
Chhattisgarh,130.0,1.0,564.0
Dadra and Nagar Haveli and Daman and Diu,1.0,0.0,4.0
Delhi,9243.0,556.0,22132.0
Goa,57.0,0.0,79.0
Gujarat,11894.0,1092.0,17617.0
Haryana,1069.0,23.0,2652.0
Himachal Pradesh,140.0,5.0,345.0
Jammu and Kashmir,953.0,33.0,2718.0
Jharkhand,320.0,5.0,712.0
Karnataka,1403.0,52.0,3796.0
Kerala,627.0,11.0,1412.0
Ladakh,47.0,1.0,81.0
Madhya Pradesh,5221.0,364.0,8420.0
Maharashtra,31333.0,2465.0,72300.0
Manipur,14.0,0.0,89.0
Meghalaya,12.0,1.0,27.0
Mizoram,1.0,0.0,13.0
Nagaland,0.0,0.0,49.0
Odisha,1325.0,7.0,2245.0
Puducherry,25.0,0.0,82.0
Punjab,2017.0,46.0,2342.0
Rajasthan,6435.0,203.0,9373.0
Sikkim,0.0,0.0,1.0
Tamil Nadu,13706.0,197.0,24586.0
Telangana,1526.0,92.0,2891.0
Tripura,173.0,0.0,468.0
Uttarakhand,252.0,7.0,1043.0
Uttar Pradesh,5030.0,222.0,8361.0
West Bengal,2410.0,335.0,6168.0
National Total,100303.0,5815.0,200492.0
