Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,7648.0,7513.0,129.0
Andhra Pradesh,2063577.0,2044132.0,14343.0
Arunachal Pradesh,55089.0,54677.0,280.0
Assam,608589.0,598759.0,5973.0
Bihar,726058.0,716359.0,9661.0
Chandigarh,65323.0,64475.0,820.0
Chhattisgarh,1005847.0,992056.0,13572.0
Dadra and Nagar Haveli and Daman and Diu,10679.0,10671.0,4.0
Delhi,1439603.0,1414192.0,25091.0
Goa,177886.0,173983.0,3358.0
Gujarat,826418.0,816167.0,10087.0
Haryana,771157.0,760981.0,10049.0
Himachal Pradesh,222638.0,217406.0,3736.0
Jammu and Kashmir,331638.0,326343.0,4429.0
Jharkhand,348627.0,343268.0,5135.0
Karnataka,2985986.0,2939239.0,38007.0
Kerala,4915331.0,4808775.0,28592.0
Ladakh,20904.0,20659.0,208.0
Lakshadweep,10365.0,10314.0,51.0
Madhya Pradesh,792749.0,782141.0,10523.0
Maharashtra,6602961.0,6435439.0,140016.0
Manipur,123292.0,120450.0,1911.0
Meghalaya,83371.0,81286.0,1446.0
Mizoram,117419.0,108927.0,412.0
Nagaland,31712.0,30790.0,679.0
Odisha,1038411.0,1025917.0,8309.0
Puducherry,127735.0,125411.0,1857.0
Punjab,602209.0,585429.0,16551.0
Rajasthan,954402.0,945417.0,8954.0
Sikkim,31900.0,31306.0,394.0
Tamil Nadu,2695216.0,2646163.0,36019.0
Telangana,670274.0,662377.0,3947.0
Tripura,84389.0,83475.0,816.0
Uttarakhand,343821.0,336259.0,7399.0
Uttar Pradesh,1710095.0,1687093.0,22899.0
West Bengal,1586455.0,1559518.0,19055.0
National Total,34189774.0,33567367.0,454712.0
