Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,4441.0,4206.0,60.0
Andhra Pradesh,840730.0,812517.0,6779.0
Arunachal Pradesh,15389.0,13785.0,45.0
Assam,208637.0,200939.0,940.0
Bihar,220936.0,213513.0,1136.0
Chandigarh,15025.0,13978.0,232.0
Chhattisgarh,199562.0,173872.0,2434.0
Dadra and Nagar Haveli and Daman and Diu,3273.0,3239.0,2.0
Delhi,430784.0,383614.0,6912.0
Goa,44916.0,42239.0,641.0
Gujarat,179517.0,163640.0,3753.0
Haryana,180424.0,162814.0,1897.0
Himachal Pradesh,24812.0,20243.0,371.0
Jammu and Kashmir,98337.0,91225.0,1528.0
Jharkhand,104239.0,98776.0,897.0
Karnataka,844147.0,799439.0,11369.0
Kerala,480669.0,395624.0,1668.0
Ladakh,6790.0,5894.0,80.0
Madhya Pradesh,176468.0,165715.0,3017.0
Maharashtra,1714273.0,1569090.0,45115.0
Manipur,20131.0,16714.0,194.0
Meghalaya,10047.0,8959.0,93.0
Mizoram,3090.0,2526.0,2.0
Nagaland,9455.0,8336.0,45.0
Odisha,300140.0,286857.0,1410.0
Puducherry,35744.0,33932.0,600.0
Punjab,136958.0,127821.0,4310.0
Rajasthan,209438.0,191132.0,1979.0
Sikkim,4195.0,3805.0,76.0
Tamil Nadu,741488.0,711198.0,11324.0
Telangana,250331.0,229064.0,1377.0
Tripura,31517.0,29858.0,357.0
Uttarakhand,65036.0,60083.0,1063.0
Uttar Pradesh,495421.0,465250.0,7180.0
West Bengal,401394.0,359071.0,7235.0
National Total,8507754.0,7868968.0,126121.0
