Region,Confirmed,Recovered/Migrated,Deceased
Andaman and Nicobar Islands,4994.0,4927.0,62.0
Andhra Pradesh,887591.0,879131.0,7152.0
Arunachal Pradesh,16827.0,16758.0,56.0
Assam,217091.0,214054.0,1081.0
Bihar,259373.0,256857.0,1495.0
Chandigarh,20882.0,20389.0,334.0
Chhattisgarh,304689.0,296642.0,3689.0
Dadra and Nagar Haveli and Daman and Diu,3398.0,3388.0,2.0
Delhi,634773.0,622381.0,10841.0
Goa,53263.0,51755.0,766.0
Gujarat,260901.0,252927.0,4385.0
Haryana,267708.0,263501.0,3015.0
Himachal Pradesh,57400.0,56083.0,974.0
Jammu and Kashmir,124373.0,121617.0,1933.0
Jharkhand,118602.0,116904.0,1070.0
Karnataka,938401.0,920110.0,12211.0
Kerala,917630.0,841444.0,3704.0
Ladakh,9714.0,9517.0,129.0
Lakshadweep,70.0,14.0,0.0
Madhya Pradesh,254667.0,248036.0,3805.0
Maharashtra,2021184.0,1925800.0,51000.0
Manipur,29037.0,28524.0,371.0
Meghalaya,13753.0,13524.0,146.0
Mizoram,4366.0,4318.0,9.0
Nagaland,12088.0,11947.0,88.0
Odisha,334850.0,331824.0,1906.0
Puducherry,39004.0,38062.0,647.0
Punjab,172860.0,165145.0,5601.0
Rajasthan,317292.0,312132.0,2765.0
Sikkim,6085.0,5855.0,133.0
Tamil Nadu,837327.0,820381.0,12345.0
Telangana,294306.0,290354.0,1598.0
Tripura,33350.0,32938.0,391.0
Uttarakhand,95986.0,93055.0,1642.0
Uttar Pradesh,599837.0,585273.0,8646.0
West Bengal,569459.0,553593.0,10155.0
National Total,10733131.0,10409160.0,154147.0
