Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,7269.0,7034.0,126.0
Andhra Pradesh,1814393.0,1722381.0,11999.0
Arunachal Pradesh,31648.0,28608.0,151.0
Assam,463175.0,418472.0,3994.0
Bihar,717539.0,703262.0,9505.0
Chandigarh,61160.0,59859.0,794.0
Chhattisgarh,987563.0,961569.0,13334.0
Dadra and Nagar Haveli and Daman and Diu,10464.0,10401.0,4.0
Delhi,1431270.0,1403205.0,24839.0
Goa,162721.0,155378.0,2937.0
Gujarat,820726.0,801181.0,10003.0
Haryana,766129.0,753020.0,9032.0
Himachal Pradesh,198876.0,191046.0,3398.0
Jammu and Kashmir,308011.0,290284.0,4195.0
Jharkhand,343609.0,335462.0,5085.0
Karnataka,2771969.0,2566774.0,33033.0
Kerala,2735958.0,2610368.0,11342.0
Ladakh,19611.0,18841.0,198.0
Lakshadweep,9236.0,8672.0,44.0
Madhya Pradesh,788425.0,775896.0,8588.0
Maharashtra,5917121.0,5654003.0,112696.0
Manipur,60311.0,50878.0,990.0
Meghalaya,42309.0,37037.0,743.0
Mizoram,15631.0,11879.0,70.0
Nagaland,23753.0,20096.0,456.0
Odisha,856121.0,804981.0,3346.0
Puducherry,112837.0,106199.0,1691.0
Punjab,588525.0,561010.0,15602.0
Rajasthan,949961.0,934652.0,8842.0
Sikkim,18450.0,14863.0,281.0
Tamil Nadu,2366493.0,2199808.0,29801.0
Telangana,604880.0,580923.0,3496.0
Tripura,59849.0,54274.0,624.0
Uttarakhand,337175.0,326307.0,6960.0
Uttar Pradesh,1702937.0,1672968.0,21858.0
West Bengal,1464776.0,1428881.0,16974.0
National Total,29570881.0,28280472.0,377031.0
