Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,10041.0,9910.0,129.0
Andhra Pradesh,2319898.0,2305105.0,14731.0
Arunachal Pradesh,64504.0,64207.0,296.0
Assam,724225.0,716237.0,7986.0
Bihar,830734.0,818426.0,12256.0
Chandigarh,92336.0,91094.0,1165.0
Chhattisgarh,1152410.0,1138321.0,14034.0
Dadra and Nagar Haveli and Daman and Diu,11441.0,11437.0,4.0
Delhi,1904664.0,1876695.0,26207.0
Goa,245702.0,241772.0,3832.0
Gujarat,1225004.0,1213868.0,10944.0
Haryana,1001507.0,989845.0,10621.0
Himachal Pradesh,285020.0,280839.0,4136.0
Jammu and Kashmir,454212.0,449401.0,4752.0
Jharkhand,435325.0,429985.0,5318.0
Karnataka,3950978.0,3909073.0,40106.0
Kerala,6552284.0,6478328.0,69643.0
Ladakh,28261.0,28029.0,228.0
Lakshadweep,11402.0,11350.0,52.0
Madhya Pradesh,1042326.0,1031294.0,10736.0
Maharashtra,7883818.0,7733786.0,147857.0
Manipur,137231.0,135110.0,2120.0
Meghalaya,93822.0,92227.0,1593.0
Mizoram,228226.0,227366.0,698.0
Nagaland,35496.0,34735.0,760.0
Odisha,1288390.0,1279143.0,9126.0
Puducherry,165845.0,163856.0,1962.0
Punjab,760241.0,742376.0,17752.0
Rajasthan,1285353.0,1275303.0,9555.0
Sikkim,39165.0,38710.0,452.0
Tamil Nadu,3455040.0,3416644.0,38025.0
Telangana,792997.0,788488.0,4111.0
Tripura,100887.0,99964.0,923.0
Uttarakhand,437834.0,429666.0,7693.0
Uttar Pradesh,2079010.0,2054661.0,23519.0
West Bengal,2019191.0,1997630.0,21203.0
National Total,43144820.0,42604881.0,524525.0
