Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,7576.0,7438.0,129.0
Andhra Pradesh,2024603.0,1996143.0,13950.0
Arunachal Pradesh,53551.0,52665.0,269.0
Assam,593514.0,581493.0,5723.0
Bihar,725784.0,716062.0,9657.0
Chandigarh,65138.0,64292.0,815.0
Chhattisgarh,1004772.0,990825.0,13557.0
Dadra and Nagar Haveli and Daman and Diu,10669.0,10659.0,4.0
Delhi,1438082.0,1412585.0,25083.0
Goa,174646.0,170578.0,3212.0
Gujarat,825544.0,815311.0,10082.0
Haryana,770601.0,760308.0,9686.0
Himachal Pradesh,215074.0,209749.0,3622.0
Jammu and Kashmir,326310.0,320648.0,4411.0
Jharkhand,348012.0,342740.0,5133.0
Karnataka,2958090.0,2903547.0,37458.0
Kerala,4283494.0,4021456.0,22001.0
Ladakh,20593.0,20347.0,207.0
Lakshadweep,10349.0,10296.0,51.0
Madhya Pradesh,792297.0,781644.0,10516.0
Maharashtra,6497872.0,6308491.0,137962.0
Manipur,116134.0,111165.0,1805.0
Meghalaya,77471.0,74246.0,1337.0
Mizoram,67971.0,55438.0,229.0
Nagaland,30485.0,29144.0,634.0
Odisha,1013567.0,999165.0,8070.0
Puducherry,124436.0,121631.0,1819.0
Punjab,600914.0,584146.0,16449.0
Rajasthan,954161.0,945125.0,8954.0
Sikkim,30384.0,29146.0,376.0
Tamil Nadu,2627365.0,2576112.0,35073.0
Telangana,660471.0,651085.0,3889.0
Tripura,83478.0,81999.0,803.0
Uttarakhand,343151.0,335413.0,7389.0
Uttar Pradesh,1709494.0,1686417.0,22863.0
West Bengal,1553928.0,1527109.0,18531.0
National Total,33139981.0,32304618.0,441749.0
