Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,7592.0,7450.0,129.0
Andhra Pradesh,2033419.0,2004786.0,14030.0
Arunachal Pradesh,53943.0,53127.0,271.0
Assam,596606.0,585435.0,5775.0
Bihar,725852.0,716128.0,9658.0
Chandigarh,65164.0,64317.0,818.0
Chhattisgarh,1004957.0,991048.0,13559.0
Dadra and Nagar Haveli and Daman and Diu,10670.0,10661.0,4.0
Delhi,1438345.0,1412858.0,25083.0
Goa,175088.0,171099.0,3289.0
Gujarat,825655.0,815424.0,10082.0
Haryana,770688.0,760545.0,9808.0
Himachal Pradesh,216303.0,211009.0,3644.0
Jammu and Kashmir,327296.0,321532.0,4415.0
Jharkhand,348096.0,342853.0,5133.0
Karnataka,2964083.0,2910626.0,37537.0
Kerala,4424046.0,4209746.0,22987.0
Ladakh,20625.0,20378.0,207.0
Lakshadweep,10353.0,10298.0,51.0
Madhya Pradesh,792367.0,781726.0,10517.0
Maharashtra,6507930.0,6317070.0,138277.0
Manipur,117697.0,113259.0,1817.0
Meghalaya,78729.0,75698.0,1367.0
Mizoram,75470.0,61247.0,250.0
Nagaland,30731.0,29566.0,646.0
Odisha,1017718.0,1004164.0,8114.0
Puducherry,125063.0,122338.0,1825.0
Punjab,601150.0,584361.0,16464.0
Rajasthan,954226.0,945168.0,8954.0
Sikkim,30738.0,29612.0,379.0
Tamil Nadu,2638668.0,2586786.0,35246.0
Telangana,662526.0,653302.0,3899.0
Tripura,83756.0,82497.0,806.0
Uttarakhand,343310.0,335625.0,7389.0
Uttar Pradesh,1709605.0,1686538.0,22885.0
West Bengal,1558860.0,1532197.0,18613.0
National Total,33347325.0,32560474.0,443928.0
