Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,7622.0,7484.0,129.0
Andhra Pradesh,2051998.0,2027229.0,14195.0
Arunachal Pradesh,54693.0,54011.0,277.0
Assam,602712.0,592514.0,5880.0
Bihar,725965.0,716260.0,9661.0
Chandigarh,65235.0,64383.0,819.0
Chhattisgarh,1005387.0,991556.0,13566.0
Dadra and Nagar Haveli and Daman and Diu,10670.0,10666.0,4.0
Delhi,1438933.0,1413462.0,25088.0
Goa,176594.0,172463.0,3317.0
Gujarat,825979.0,815726.0,10082.0
Haryana,770904.0,760746.0,9874.0
Himachal Pradesh,219333.0,214093.0,3681.0
Jammu and Kashmir,329687.0,323969.0,4424.0
Jharkhand,348255.0,343023.0,5135.0
Karnataka,2977225.0,2927029.0,37811.0
Kerala,4707909.0,4540866.0,25303.0
Ladakh,20812.0,20541.0,207.0
Lakshadweep,10361.0,10310.0,51.0
Madhya Pradesh,792547.0,781908.0,10522.0
Maharashtra,6556657.0,6377954.0,139166.0
Manipur,120879.0,116803.0,1860.0
Meghalaya,81575.0,78613.0,1405.0
Mizoram,97732.0,81262.0,317.0
Nagaland,31295.0,30277.0,666.0
Odisha,1027431.0,1014412.0,8209.0
Puducherry,126513.0,123906.0,1840.0
Punjab,601698.0,584898.0,16520.0
Rajasthan,954337.0,945316.0,8954.0
Sikkim,31507.0,30517.0,388.0
Tamil Nadu,2666964.0,2614291.0,35627.0
Telangana,666384.0,657923.0,3920.0
Tripura,84172.0,83167.0,815.0
Uttarakhand,343555.0,336010.0,7395.0
Uttar Pradesh,1709844.0,1686797.0,22894.0
West Bengal,1570539.0,1544144.0,18815.0
National Total,33813903.0,33094529.0,448817.0
