Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,5016.0,4952.0,62.0
Andhra Pradesh,889585.0,881806.0,7168.0
Arunachal Pradesh,16836.0,16777.0,56.0
Assam,217484.0,214770.0,1091.0
Bihar,262418.0,260401.0,1539.0
Chandigarh,21590.0,20960.0,351.0
Chhattisgarh,311900.0,305214.0,3821.0
Dadra and Nagar Haveli and Daman and Diu,3405.0,3398.0,2.0
Delhi,638593.0,626519.0,10905.0
Goa,54771.0,53449.0,791.0
Gujarat,268571.0,262172.0,4408.0
Haryana,270263.0,266166.0,3043.0
Himachal Pradesh,58499.0,57260.0,995.0
Jammu and Kashmir,126201.0,123426.0,1955.0
Jharkhand,119795.0,118241.0,1087.0
Karnataka,949636.0,931725.0,12316.0
Kerala,1048686.0,992372.0,4150.0
Ladakh,9814.0,9628.0,130.0
Lakshadweep,331.0,244.0,1.0
Madhya Pradesh,260681.0,254387.0,3859.0
Maharashtra,2129821.0,2012367.0,51993.0
Manipur,29253.0,28840.0,373.0
Meghalaya,13961.0,13793.0,148.0
Mizoram,4419.0,4382.0,10.0
Nagaland,12198.0,12094.0,91.0
Odisha,336924.0,334400.0,1915.0
Puducherry,39677.0,38814.0,667.0
Punjab,180382.0,170713.0,5799.0
Rajasthan,319929.0,315936.0,2785.0
Sikkim,6133.0,5955.0,135.0
Tamil Nadu,850096.0,833560.0,12483.0
Telangana,298453.0,294911.0,1632.0
Tripura,33407.0,32984.0,391.0
Uttarakhand,97031.0,94850.0,1690.0
Uttar Pradesh,603232.0,592327.0,8723.0
West Bengal,574500.0,560887.0,10260.0
National Total,11063491.0,10750680.0,156825.0
