Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,6674.0,6359.0,92.0
Andhra Pradesh,1475372.0,1254291.0,9580.0
Arunachal Pradesh,22462.0,19977.0,88.0
Assam,340858.0,290774.0,2344.0
Bihar,664115.0,595377.0,4039.0
Chandigarh,56513.0,48831.0,647.0
Chhattisgarh,925531.0,823113.0,12036.0
Dadra and Nagar Haveli and Daman and Diu,9652.0,8944.0,4.0
Delhi,1402873.0,1329899.0,22111.0
Goa,138776.0,112633.0,2197.0
Gujarat,766201.0,660489.0,9269.0
Haryana,709689.0,626852.0,6923.0
Himachal Pradesh,166678.0,129330.0,2460.0
Jammu and Kashmir,251919.0,197701.0,3293.0
Jharkhand,320934.0,284805.0,4601.0
Karnataka,2272374.0,1674487.0,22838.0
Kerala,2200706.0,1846105.0,6612.0
Ladakh,16784.0,15031.0,170.0
Lakshadweep,5212.0,3915.0,15.0
Madhya Pradesh,742718.0,652612.0,7139.0
Maharashtra,5433506.0,4927480.0,83777.0
Manipur,40683.0,33466.0,612.0
Meghalaya,24872.0,19185.0,355.0
Mizoram,9252.0,7094.0,29.0
Nagaland,18714.0,14079.0,228.0
Odisha,633302.0,536595.0,2357.0
Puducherry,87749.0,69060.0,1212.0
Punjab,511652.0,427058.0,12317.0
Rajasthan,879664.0,713129.0,7080.0
Sikkim,11689.0,8427.0,212.0
Tamil Nadu,1664350.0,1403052.0,18369.0
Telangana,536766.0,485644.0,3012.0
Tripura,42776.0,36402.0,450.0
Uttarakhand,295790.0,214426.0,5132.0
Uttar Pradesh,1637663.0,1483249.0,18072.0
West Bengal,1171861.0,1026492.0,13576.0
National Total,25496330.0,21986363.0,283248.0
