Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,5816.0,5606.0,67.0
Andhra Pradesh,1069544.0,954062.0,7871.0
Arunachal Pradesh,18062.0,17038.0,58.0
Assam,246847.0,222397.0,1255.0
Bihar,441375.0,340236.0,2391.0
Chandigarh,41122.0,34359.0,457.0
Chhattisgarh,697902.0,570995.0,8061.0
Dadra and Nagar Haveli and Daman and Diu,7067.0,5084.0,4.0
Delhi,1098051.0,979250.0,15377.0
Goa,85009.0,65070.0,1110.0
Gujarat,538845.0,398824.0,6830.0
Haryana,460198.0,367317.0,4021.0
Himachal Pradesh,93889.0,76371.0,1420.0
Jammu and Kashmir,169077.0,142537.0,2227.0
Jharkhand,221489.0,164278.0,2395.0
Karnataka,1439822.0,1095883.0,15036.0
Kerala,1495377.0,1223185.0,5211.0
Ladakh,13758.0,11937.0,139.0
Lakshadweep,2504.0,1336.0,1.0
Madhya Pradesh,538165.0,439968.0,5424.0
Maharashtra,4473394.0,3730729.0,67214.0
Manipur,31001.0,29376.0,395.0
Meghalaya,16430.0,14788.0,167.0
Mizoram,5880.0,4792.0,13.0
Nagaland,13569.0,12516.0,100.0
Odisha,428515.0,375721.0,2017.0
Puducherry,56305.0,47080.0,781.0
Punjab,358186.0,295988.0,8772.0
Rajasthan,563577.0,396279.0,3926.0
Sikkim,7577.0,6328.0,143.0
Tamil Nadu,1130167.0,1006033.0,13826.0
Telangana,427960.0,349692.0,2208.0
Tripura,35028.0,33562.0,396.0
Uttarakhand,168616.0,120816.0,2417.0
Uttar Pradesh,1182848.0,870864.0,11943.0
West Bengal,793552.0,676581.0,11159.0
National Total,18376524.0,15086878.0,204832.0
