Region,Recovered/Migrated,Deceased,Confirmed
Andaman and Nicobar Islands,33.0,0.0,33.0
Andhra Pradesh,2576.0,73.0,4303.0
Arunachal Pradesh,1.0,0.0,45.0
Assam,498.0,4.0,2153.0
Bihar,2225.0,29.0,4596.0
Chandigarh,222.0,5.0,304.0
Chhattisgarh,244.0,2.0,879.0
Dadra and Nagar Haveli,1.0,0.0,14.0
Delhi,10315.0,708.0,26334.0
Goa,65.0,0.0,196.0
Gujarat,13003.0,1190.0,19094.0
Haryana,2134.0,24.0,3597.0
Himachal Pradesh,189.0,5.0,393.0
Jammu and Kashmir,1086.0,36.0,3324.0
Jharkhand,410.0,7.0,881.0
Karnataka,1688.0,57.0,4835.0
Kerala,712.0,14.0,1699.0
Ladakh,48.0,1.0,97.0
Madhya Pradesh,5878.0,384.0,8996.0
Maharashtra,35156.0,2849.0,80229.0
Manipur,41.0,0.0,132.0
Meghalaya,13.0,1.0,33.0
Mizoram,1.0,0.0,22.0
Nagaland,0.0,0.0,94.0
Odisha,1604.0,8.0,2608.0
Puducherry,36.0,0.0,99.0
Punjab,2069.0,48.0,2461.0
Rajasthan,7359.0,218.0,10084.0
Sikkim,0.0,0.0,3.0
Tamil Nadu,15762.0,232.0,28694.0
Telangana,1627.0,113.0,3290.0
Tripura,173.0,0.0,692.0
Uttarakhand,344.0,11.0,1215.0
Uttar Pradesh,5648.0,257.0,9733.0
West Bengal,2912.0,366.0,7303.0
National Total,114073.0,6642.0,228465.0
