Region,Recovered/Migrated,Deceased,Confirmed
Andaman and Nicobar Islands,33.0,0.0,33.0
Andhra Pradesh,2226.0,60.0,3436.0
Arunachal Pradesh,1.0,0.0,3.0
Assam,125.0,4.0,1024.0
Bihar,1211.0,15.0,3376.0
Chandigarh,189.0,4.0,289.0
Chhattisgarh,100.0,1.0,415.0
Dadra and Nagar Haveli,0.0,0.0,2.0
Delhi,7846.0,398.0,17386.0
Goa,41.0,0.0,69.0
Gujarat,8611.0,980.0,15934.0
Haryana,940.0,19.0,1721.0
Himachal Pradesh,87.0,5.0,295.0
Jammu and Kashmir,875.0,28.0,2164.0
Jharkhand,216.0,5.0,511.0
Karnataka,894.0,48.0,2781.0
Kerala,565.0,8.0,1150.0
Ladakh,43.0,0.0,74.0
Madhya Pradesh,4269.0,334.0,7645.0
Maharashtra,26997.0,2098.0,62228.0
Manipur,8.0,0.0,59.0
Meghalaya,12.0,1.0,27.0
Mizoram,1.0,0.0,1.0
Nagaland,0.0,0.0,25.0
Odisha,887.0,7.0,1723.0
Puducherry,14.0,0.0,51.0
Punjab,1949.0,42.0,2197.0
Rajasthan,5244.0,184.0,8365.0
Sikkim,0.0,0.0,1.0
Tamil Nadu,11313.0,154.0,20246.0
Telangana,1381.0,71.0,2425.0
Tripura,171.0,0.0,251.0
Uttarakhand,102.0,5.0,716.0
Uttar Pradesh,4244.0,198.0,7284.0
West Bengal,1775.0,302.0,4813.0
National Total,82370.0,4971.0,168720.0
