Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,10032.0,9901.0,129.0
Andhra Pradesh,2319475.0,2304378.0,14730.0
Arunachal Pradesh,64484.0,64188.0,296.0
Assam,724196.0,716197.0,6639.0
Bihar,830453.0,818167.0,12256.0
Chandigarh,91911.0,90723.0,1165.0
Chhattisgarh,1152070.0,1137881.0,14034.0
Dadra and Nagar Haveli and Daman and Diu,11441.0,11437.0,4.0
Delhi,1864549.0,1837950.0,26151.0
Goa,245278.0,241419.0,3830.0
Gujarat,1223871.0,1212670.0,10942.0
Haryana,985019.0,974039.0,10608.0
Himachal Pradesh,284478.0,280162.0,4133.0
Jammu and Kashmir,453658.0,448774.0,4750.0
Jharkhand,435124.0,429740.0,5315.0
Karnataka,3945311.0,3903442.0,40050.0
Kerala,6531046.0,6458586.0,67797.0
Ladakh,28218.0,27974.0,228.0
Lakshadweep,11402.0,11350.0,52.0
Madhya Pradesh,1041039.0,1030153.0,10734.0
Maharashtra,7873509.0,7724803.0,147780.0
Manipur,137084.0,134924.0,2120.0
Meghalaya,93758.0,92121.0,1593.0
Mizoram,223856.0,221956.0,681.0
Nagaland,35470.0,34696.0,758.0
Odisha,1287469.0,1277879.0,9118.0
Puducherry,165774.0,163808.0,1962.0
Punjab,759048.0,741179.0,17740.0
Rajasthan,1282911.0,1273060.0,9551.0
Sikkim,39138.0,38666.0,452.0
Tamil Nadu,3452681.0,3414262.0,38025.0
Telangana,791151.0,786526.0,4111.0
Tripura,100872.0,99951.0,919.0
Uttarakhand,437179.0,428970.0,7691.0
Uttar Pradesh,2070566.0,2046608.0,23494.0
West Bengal,2017202.0,1995289.0,21197.0
National Total,43020723.0,42483829.0,521035.0
