Region,Recovered/Migrated,Deceased,Confirmed
Andaman and Nicobar Islands,33.0,0.0,33.0
Andhra Pradesh,2289.0,60.0,3569.0
Arunachal Pradesh,1.0,0.0,4.0
Assam,163.0,4.0,1185.0
Bihar,1618.0,20.0,3636.0
Chandigarh,189.0,4.0,289.0
Chhattisgarh,102.0,1.0,447.0
Dadra and Nagar Haveli,0.0,0.0,2.0
Delhi,8075.0,416.0,18549.0
Goa,41.0,0.0,70.0
Gujarat,9230.0,1007.0,16343.0
Haryana,971.0,20.0,1923.0
Himachal Pradesh,111.0,5.0,313.0
Jammu and Kashmir,908.0,28.0,2341.0
Jharkhand,256.0,5.0,563.0
Karnataka,997.0,48.0,2922.0
Kerala,575.0,9.0,1208.0
Ladakh,43.0,0.0,74.0
Madhya Pradesh,4444.0,343.0,7891.0
Maharashtra,28081.0,2197.0,65168.0
Manipur,8.0,0.0,62.0
Meghalaya,12.0,1.0,27.0
Mizoram,1.0,0.0,1.0
Nagaland,0.0,0.0,36.0
Odisha,1050.0,7.0,1819.0
Puducherry,14.0,0.0,51.0
Punjab,1967.0,44.0,2233.0
Rajasthan,5739.0,193.0,8617.0
Sikkim,0.0,0.0,1.0
Tamil Nadu,12000.0,160.0,21184.0
Telangana,1412.0,77.0,2499.0
Tripura,172.0,0.0,268.0
Uttarakhand,102.0,5.0,749.0
Uttar Pradesh,4410.0,201.0,7445.0
West Bengal,1970.0,309.0,5130.0
National Total,86984.0,5164.0,176652.0
