Region,Confirmed,Recovered/Migrated,Deceased
Andaman and Nicobar Islands,5022.0,4952.0,62.0
Andhra Pradesh,890215.0,882219.0,7170.0
Arunachal Pradesh,16838.0,16780.0,56.0
Assam,217593.0,214879.0,1093.0
Bihar,262628.0,260737.0,1542.0
Chandigarh,21962.0,21104.0,355.0
Chhattisgarh,313299.0,306490.0,3848.0
Dadra and Nagar Haveli and Daman and Diu,3408.0,3400.0,2.0
Delhi,639921.0,627423.0,10914.0
Goa,55143.0,53737.0,796.0
Gujarat,271245.0,264195.0,4412.0
Haryana,271365.0,266843.0,3052.0
Himachal Pradesh,58877.0,57386.0,996.0
Jammu and Kashmir,126693.0,123860.0,1958.0
Jharkhand,120068.0,118505.0,1090.0
Karnataka,952565.0,934143.0,12346.0
Kerala,1067044.0,1016515.0,4241.0
Ladakh,9821.0,9649.0,130.0
Lakshadweep,414.0,285.0,1.0
Madhya Pradesh,262850.0,255888.0,3865.0
Maharashtra,2179185.0,2043349.0,52280.0
Manipur,29283.0,28878.0,373.0
Meghalaya,13966.0,13804.0,148.0
Mizoram,4427.0,4398.0,10.0
Nagaland,12205.0,12102.0,91.0
Odisha,337448.0,334767.0,1917.0
Puducherry,39777.0,38940.0,669.0
Punjab,184310.0,172845.0,5872.0
Rajasthan,320772.0,316515.0,2787.0
Sikkim,6150.0,5986.0,135.0
Tamil Nadu,852967.0,836473.0,12504.0
Telangana,299406.0,295821.0,1637.0
Tripura,33422.0,32998.0,391.0
Uttarakhand,97134.0,94979.0,1692.0
Uttar Pradesh,603788.0,593035.0,8728.0
West Bengal,575712.0,562195.0,10272.0
National Total,11156923.0,10826075.0,157435.0
