Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,7665.0,7527.0,129.0
Andhra Pradesh,2069066.0,2051440.0,14406.0
Arunachal Pradesh,55202.0,54875.0,280.0
Assam,613061.0,603747.0,6035.0
Bihar,726144.0,716446.0,9661.0
Chandigarh,65373.0,64531.0,820.0
Chhattisgarh,1006245.0,992435.0,13587.0
Dadra and Nagar Haveli and Daman and Diu,10682.0,10678.0,4.0
Delhi,1440230.0,1414751.0,25091.0
Goa,178399.0,174734.0,3371.0
Gujarat,826826.0,816521.0,10090.0
Haryana,771368.0,761200.0,10050.0
Himachal Pradesh,225319.0,220368.0,3790.0
Jammu and Kashmir,333490.0,327812.0,4448.0
Jharkhand,348948.0,343660.0,5138.0
Karnataka,2990856.0,2944669.0,38131.0
Kerala,5034858.0,4929153.0,34621.0
Ladakh,21087.0,20749.0,209.0
Lakshadweep,10365.0,10314.0,51.0
Madhya Pradesh,792924.0,782319.0,10524.0
Maharashtra,6620423.0,6463932.0,140447.0
Manipur,124250.0,121586.0,1940.0
Meghalaya,83942.0,82163.0,1461.0
Mizoram,126917.0,120522.0,456.0
Nagaland,31960.0,31096.0,692.0
Odisha,1044428.0,1033344.0,8368.0
Puducherry,128302.0,126167.0,1863.0
Punjab,602647.0,585838.0,16567.0
Rajasthan,954471.0,945473.0,8954.0
Sikkim,32074.0,31550.0,400.0
Tamil Nadu,2711584.0,2665178.0,36247.0
Telangana,672987.0,665272.0,3969.0
Tripura,84635.0,83685.0,816.0
Uttarakhand,343974.0,336430.0,7402.0
Uttar Pradesh,1710236.0,1687240.0,22904.0
West Bengal,1600732.0,1573520.0,19267.0
National Total,34401670.0,33800925.0,462189.0
