Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,10676.0,10529.0,129.0
Andhra Pradesh,2338279.0,2323334.0,14733.0
Arunachal Pradesh,66843.0,66530.0,296.0
Assam,745599.0,734845.0,8034.0
Bihar,850475.0,837970.0,12302.0
Chandigarh,99201.0,97981.0,1181.0
Chhattisgarh,1176251.0,1161645.0,14134.0
Dadra and Nagar Haveli and Daman and Diu,11587.0,11582.0,4.0
Delhi,2003282.0,1976402.0,26501.0
Goa,258054.0,253839.0,3966.0
Gujarat,1274666.0,1262746.0,11034.0
Haryana,1054873.0,1043956.0,10705.0
Himachal Pradesh,312188.0,307820.0,4210.0
Jammu and Kashmir,479137.0,474216.0,4785.0
Jharkhand,442358.0,436947.0,5330.0
Karnataka,4064612.0,4021596.0,40283.0
Kerala,6804336.0,6721547.0,71143.0
Ladakh,29335.0,29090.0,231.0
Lakshadweep,11415.0,11363.0,52.0
Madhya Pradesh,1054288.0,1043400.0,10771.0
Maharashtra,8120954.0,7969340.0,148338.0
Manipur,139809.0,137650.0,2148.0
Meghalaya,96691.0,95019.0,1622.0
Mizoram,238436.0,237516.0,723.0
Nagaland,35961.0,35171.0,781.0
Odisha,1333887.0,1323437.0,9192.0
Puducherry,174559.0,172256.0,1974.0
Punjab,784548.0,763875.0,17915.0
Rajasthan,1313085.0,1302982.0,9641.0
Sikkim,44173.0,43598.0,498.0
Tamil Nadu,3582582.0,3539029.0,38046.0
Telangana,837792.0,833013.0,4111.0
Tripura,107789.0,106828.0,939.0
Uttarakhand,449188.0,440435.0,7751.0
Uttar Pradesh,2126139.0,2102047.0,23621.0
West Bengal,2114259.0,2089561.0,21505.0
National Total,44587307.0,44019095.0,528629.0
