Region,Confirmed,Recovered/Migrated,Deceased
Andaman and Nicobar Islands,4477.0,4255.0,60.0
Andhra Pradesh,846245.0,818473.0,6814.0
Arunachal Pradesh,15581.0,14051.0,46.0
Assam,209388.0,202471.0,952.0
Bihar,223346.0,216097.0,1156.0
Chandigarh,15339.0,14176.0,241.0
Chhattisgarh,204202.0,180995.0,2482.0
Dadra and Nagar Haveli and Daman and Diu,3275.0,3253.0,2.0
Delhi,451382.0,402854.0,7143.0
Goa,45389.0,42877.0,651.0
Gujarat,182557.0,166331.0,3770.0
Haryana,187777.0,168421.0,1935.0
Himachal Pradesh,26808.0,21047.0,396.0
Jammu and Kashmir,99844.0,92880.0,1549.0
Jharkhand,104940.0,99988.0,910.0
Karnataka,851212.0,808700.0,11430.0
Kerala,495712.0,415158.0,1742.0
Ladakh,7063.0,6058.0,85.0
Madhya Pradesh,179068.0,167877.0,3042.0
Maharashtra,1726926.0,1588091.0,45435.0
Manipur,20777.0,17534.0,200.0
Meghalaya,10296.0,9241.0,94.0
Mizoram,3217.0,2686.0,2.0
Nagaland,9536.0,8597.0,50.0
Odisha,303780.0,291137.0,1454.0
Puducherry,36000.0,34325.0,604.0
Punjab,138485.0,129089.0,4358.0
Rajasthan,215071.0,196338.0,2008.0
Sikkim,4308.0,3923.0,80.0
Tamil Nadu,748225.0,718129.0,11387.0
Telangana,253651.0,234234.0,1390.0
Tripura,31706.0,30058.0,359.0
Uttarakhand,66005.0,60970.0,1080.0
Uttar Pradesh,501311.0,471204.0,7261.0
West Bengal,413112.0,372265.0,7403.0
National Total,8636011.0,8013783.0,127571.0
