Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,7529.0,7385.0,129.0
Andhra Pradesh,1954765.0,1919354.0,13256.0
Arunachal Pradesh,45867.0,41385.0,216.0
Assam,558491.0,538098.0,5136.0
Bihar,724471.0,714330.0,9639.0
Chandigarh,61927.0,61085.0,809.0
Chhattisgarh,1001167.0,984913.0,13516.0
Dadra and Nagar Haveli and Daman and Diu,10637.0,10587.0,4.0
Delhi,1435910.0,1410288.0,25043.0
Goa,170491.0,166201.0,3132.0
Gujarat,824713.0,814307.0,10076.0
Haryana,769739.0,759405.0,9619.0
Himachal Pradesh,205061.0,200706.0,3514.0
Jammu and Kashmir,320657.0,314995.0,4374.0
Jharkhand,346946.0,341568.0,5124.0
Karnataka,2894557.0,2834741.0,36374.0
Kerala,3271530.0,3114716.0,16035.0
Ladakh,20300.0,20026.0,207.0
Lakshadweep,10129.0,10004.0,49.0
Madhya Pradesh,791750.0,781090.0,10512.0
Maharashtra,6264922.0,6035029.0,131552.0
Manipur,92667.0,80608.0,1478.0
Meghalaya,61194.0,55163.0,1024.0
Mizoram,33452.0,23572.0,137.0
Nagaland,27308.0,25481.0,542.0
Odisha,967548.0,945177.0,5512.0
Puducherry,120331.0,117620.0,1789.0
Punjab,598794.0,581829.0,16266.0
Rajasthan,953542.0,944277.0,8952.0
Sikkim,25160.0,21813.0,330.0
Tamil Nadu,2548497.0,2491222.0,33911.0
Telangana,641153.0,627964.0,3784.0
Tripura,76539.0,72132.0,744.0
Uttarakhand,341724.0,333728.0,7359.0
Uttar Pradesh,1708155.0,1684537.0,22750.0
West Bengal,1523639.0,1493770.0,18073.0
National Total,31411262.0,30579106.0,420967.0
