Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,10035.0,9905.0,129.0
Andhra Pradesh,2319666.0,2304918.0,14730.0
Arunachal Pradesh,64495.0,64199.0,296.0
Assam,724210.0,716214.0,7986.0
Bihar,830533.0,818255.0,12256.0
Chandigarh,92022.0,90802.0,1165.0
Chhattisgarh,1152248.0,1138187.0,14034.0
Dadra and Nagar Haveli and Daman and Diu,11441.0,11437.0,4.0
Delhi,1877091.0,1846414.0,26169.0
Goa,245395.0,241536.0,3832.0
Gujarat,1224276.0,1213234.0,10943.0
Haryana,990279.0,977678.0,10618.0
Himachal Pradesh,284778.0,280572.0,4134.0
Jammu and Kashmir,454013.0,449207.0,4751.0
Jharkhand,435212.0,429873.0,5317.0
Karnataka,3947083.0,3905298.0,40057.0
Kerala,6539977.0,6468401.0,68916.0
Ladakh,28245.0,28012.0,228.0
Lakshadweep,11402.0,11350.0,52.0
Madhya Pradesh,1041336.0,1030526.0,10735.0
Maharashtra,7877078.0,7728297.0,147838.0
Manipur,137217.0,135080.0,2120.0
Meghalaya,93795.0,92199.0,1593.0
Mizoram,227152.0,225697.0,696.0
Nagaland,35488.0,34728.0,760.0
Odisha,1288007.0,1278760.0,9124.0
Puducherry,165784.0,163815.0,1962.0
Punjab,759476.0,741550.0,17748.0
Rajasthan,1283412.0,1273657.0,9552.0
Sikkim,39150.0,38696.0,452.0
Tamil Nadu,3453679.0,3415250.0,38025.0
Telangana,791857.0,787508.0,4111.0
Tripura,100879.0,99957.0,922.0
Uttarakhand,437415.0,429269.0,7693.0
Uttar Pradesh,2073303.0,2048482.0,23505.0
West Bengal,2018067.0,1996600.0,21201.0
National Total,43065496.0,42525563.0,523654.0
