Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,4617.0,4408.0,61.0
Andhra Pradesh,859932.0,837630.0,6920.0
Arunachal Pradesh,16001.0,14870.0,49.0
Assam,211204.0,207029.0,971.0
Bihar,228886.0,222420.0,1212.0
Chandigarh,16472.0,15096.0,255.0
Chhattisgarh,219404.0,196896.0,2691.0
Dadra and Nagar Haveli and Daman and Diu,3316.0,3275.0,2.0
Delhi,517238.0,468143.0,8159.0
Goa,46632.0,44665.0,672.0
Gujarat,194402.0,177515.0,3837.0
Haryana,212355.0,190067.0,2138.0
Himachal Pradesh,32785.0,25455.0,500.0
Jammu and Kashmir,105376.0,98076.0,1622.0
Jharkhand,107157.0,103624.0,939.0
Karnataka,869561.0,833169.0,11621.0
Kerala,551669.0,481718.0,1997.0
Ladakh,7787.0,6743.0,96.0
Madhya Pradesh,189546.0,176006.0,3138.0
Maharashtra,1768695.0,1642916.0,46511.0
Manipur,22748.0,19620.0,232.0
Meghalaya,11152.0,10158.0,106.0
Mizoram,3607.0,3111.0,5.0
Nagaland,10608.0,9208.0,56.0
Odisha,312545.0,303897.0,1608.0
Puducherry,36585.0,35355.0,609.0
Punjab,144995.0,133919.0,4572.0
Rajasthan,237669.0,214616.0,2130.0
Sikkim,4632.0,4271.0,96.0
Tamil Nadu,766677.0,741705.0,11568.0
Telangana,262653.0,249157.0,1426.0
Tripura,32367.0,31084.0,366.0
Uttarakhand,70205.0,65562.0,1138.0
Uttar Pradesh,521988.0,491131.0,7500.0
West Bengal,449131.0,415609.0,7923.0
National Total,9050597.0,8478124.0,132726.0
