Region,Confirmed,Recovered/Migrated,Deceased
Andaman and Nicobar Islands,4994.0,4928.0,62.0
Andhra Pradesh,887720.0,879278.0,7153.0
Arunachal Pradesh,16828.0,16758.0,56.0
Assam,217120.0,214124.0,1082.0
Bihar,259496.0,257021.0,1499.0
Chandigarh,20899.0,20414.0,334.0
Chhattisgarh,305102.0,297144.0,3698.0
Dadra and Nagar Haveli and Daman and Diu,3398.0,3390.0,2.0
Delhi,634956.0,622671.0,10849.0
Goa,53356.0,51831.0,766.0
Gujarat,261224.0,253368.0,4387.0
Haryana,267805.0,263654.0,3017.0
Himachal Pradesh,57494.0,56135.0,976.0
Jammu and Kashmir,124449.0,121752.0,1936.0
Jharkhand,118651.0,117004.0,1071.0
Karnataka,938865.0,920657.0,12213.0
Kerala,923912.0,848476.0,3722.0
Ladakh,9719.0,9519.0,130.0
Lakshadweep,79.0,30.0,0.0
Madhya Pradesh,254886.0,248319.0,3807.0
Maharashtra,2023814.0,1927335.0,51042.0
Manipur,29052.0,28545.0,371.0
Meghalaya,13761.0,13541.0,146.0
Mizoram,4372.0,4323.0,9.0
Nagaland,12090.0,11950.0,88.0
Odisha,334958.0,331962.0,1906.0
Puducherry,39047.0,38094.0,647.0
Punjab,173084.0,165291.0,5609.0
Rajasthan,317396.0,312370.0,2766.0
Sikkim,6088.0,5861.0,133.0
Tamil Nadu,837832.0,820907.0,12350.0
Telangana,294469.0,290630.0,1599.0
Tripura,33351.0,32939.0,391.0
Uttarakhand,96068.0,93223.0,1643.0
Uttar Pradesh,600079.0,585747.0,8650.0
West Bengal,569769.0,553934.0,10164.0
National Total,10746183.0,10423125.0,154274.0
