Region,Recovered/Migrated,Deceased,Confirmed
Andaman and Nicobar Islands,33.0,0.0,34.0
Andhra Pradesh,2899.0,78.0,5269.0
Arunachal Pradesh,2.0,0.0,57.0
Assam,1249.0,4.0,3092.0
Bihar,3071.0,33.0,5710.0
Chandigarh,286.0,5.0,327.0
Chhattisgarh,402.0,6.0,1262.0
Dadra and Nagar Haveli and Daman and Diu,2.0,0.0,26.0
Daman & Diu,0.0,0.0,2.0
Delhi,12245.0,984.0,32810.0
Goa,67.0,0.0,387.0
Gujarat,14735.0,1347.0,21521.0
Haryana,2188.0,52.0,5579.0
Himachal Pradesh,254.0,6.0,451.0
Jammu and Kashmir,1671.0,51.0,4507.0
Jharkhand,592.0,8.0,1489.0
Karnataka,2862.0,69.0,6041.0
Kerala,905.0,18.0,2161.0
Ladakh,52.0,1.0,115.0
Madhya Pradesh,6892.0,427.0,10049.0
Maharashtra,44517.0,3438.0,94041.0
Manipur,63.0,0.0,311.0
Meghalaya,13.0,1.0,44.0
Mizoram,1.0,0.0,93.0
Nagaland,22.0,0.0,128.0
Odisha,2282.0,9.0,3250.0
Puducherry,53.0,0.0,127.0
Punjab,2232.0,55.0,2805.0
Rajasthan,8569.0,259.0,11600.0
Sikkim,0.0,0.0,13.0
Tamil Nadu,19333.0,326.0,36841.0
Telangana,1817.0,156.0,4111.0
Tripura,239.0,1.0,895.0
Uttarakhand,831.0,15.0,1562.0
Uttar Pradesh,6871.0,321.0,11610.0
National Total,137250.0,7670.0,268320.0
